date,location,event,participants_on_record,source_urls,notes
2005-03-01,Palm Beach FL,PBPD opens investigation (triggered by complaint),Palm Beach Police Department; Det. Joseph Recarey,https://abcnews.go.com/US/timeline-jeffrey-epstein-case/story?id=64753989,Investigation start anchor.
2005-07-25,Palm Beach FL,Search warrants and affidavits reported in media coverage of PBPD probe,Palm Beach Police Department,https://www.miaminewtimes.com/news/the-secret-life-of-jeffrey-epstein-6391777,Media summary of warrant activity; used as timeline color.
2006-01-01,Phoenix/Scottsdale AZ,Founding of nonprofit Everyday Heroes Like You (EHLY); later IRS 501(c)(3),Erika Frantzve (Kirk); EHLY,https://projects.propublica.org/nonprofits/organizations/263416850;https://www.arizonafoothillsmagazine.com/features/az-giving/6169--az-giving-spotlight-erika-frantzve-of-everyday-heroes-like-you.html,ProPublica lists EIN 26-3416850; interview describes founding year range.
2006-06-01,Palm Beach FL,Escalation of investigation and filings,Palm Beach County State Attorney; PBPD,https://apnews.com/article/epstein-maxwell-timeline-b9f15710fabb72e8581c71e94acf513e,Legal-procedural milestone.
2007-06-30,Miami FL,Non-prosecution agreement period referenced in press histories,U.S. Attorney’s Office (SDFL); defense counsel,https://www.miamiherald.com/news/state/florida/article220097825.html,Miami Herald investigative backdrop on NPA timeline.
2007-07-09,Miami FL,Miami Herald reporting later outlines NPA history and negotiations,U.S. Attorney’s Office (SDFL); defense counsel,https://www.miamiherald.com/news/state/florida/article220097825.html,Background on NPA timeline; investigative series anchor.
2008-06-30,Palm Beach FL,State plea and sentencing (Florida),Jeffrey Epstein; State of Florida,https://www.britannica.com/biography/Jeffrey-Epstein,Outcome of Florida case; controversial NPA context.
2008-07-01,Palm Beach FL,Registered sex offender status reports begin (state),State of Florida,https://www.palmbeachpost.com/story/news/2019/07/11/jeffrey-epstein-sex-offender-status/1589767007/,Registry status anchor referenced by reputable outlets.
2008-08-01,Palm Beach FL,Registry reporting and local monitoring post-plea,State of Florida,https://www.palmbeachpost.com/story/news/2019/07/11/jeffrey-epstein-sex-offender-status/1589767007/,Registry status context anchor.
2010-03-19,Palm Beach FL,Det. Joseph Recarey deposition (later produced in 2016 discovery),Det. Joseph Recarey; counsel,(uploaded doc),Production letter references GIUFFRE005614–GIUFFRE006279.
2010-06-01,Santa Fe NM (Zorro Ranch),Property portfolio coverage includes New Mexico ranch,Jeffrey Epstein (owner),https://www.nytimes.com/2019/07/12/us/jeffrey-epstein-properties.html,Property list anchor.
2010-08-01,New Mexico (Zorro Ranch),Media references to property portfolio including New Mexico ranch,Jeffrey Epstein (property owner),https://www.nytimes.com/2019/07/12/us/jeffrey-epstein-properties.html,Property list reporting; presence as owner.
2010-12-05,New York NY (Central Park),Photographs of walk in the park,Prince Andrew; Jeffrey Epstein,https://www.vanityfair.com/style/2021/05/prince-andrew-jeffrey-epstein-photos-central-park;https://www.townandcountrymag.com/society/money-and-power/a30396153/prince-andrew-jeffrey-epstein-central-park-photos/,Presence-only photo anchor.
2011-01-01,Constanța Romania,Romanian Angels aid efforts begin (EHLY),Erika Frantzve (Kirk); Everyday Heroes Like You; Antonio Placement Center,https://www.arizonafoothillsmagazine.com/features/az-giving/6169--az-giving-spotlight-erika-frantzve-of-everyday-heroes-like-you.html,Interview references 'past two years' active by 2012; places start ≈2010–2011.
2011-09-01,Cambridge MA,MIT Media Lab internal emails later reveal Epstein donations; event appearances with guests described,MIT Media Lab; Joi Ito,https://www.technologyreview.com/2019/09/06/65340/mit-media-lab-epstein-donations/,Donations controversy; reporting references 'guests' described as Eastern European models (no specific nationalities named).
2011-12-15,Cambridge MA,MIT Media Lab: internal email chronology later disclosed,MIT Media Lab; Joi Ito,https://www.technologyreview.com/2019/09/06/65340/mit-media-lab-epstein-donations/,Donations and visits controversy; presence of 'guests' described.
2011-12-31,Constanța Romania,Romanian media report donations to orphanage/hospital (2011–2015),Everyday Heroes Like You volunteers,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/;https://www.politifact.com/factchecks/2024/aug/06/instagram-posts/no-evidence-that-erika-frantzve-kirk-was-banned-fr/,Media-documented donations; presence/year window.
2012-01-20,Constanța Romania,Romanian Angels/EHLY visit coverage in Romanian press (early 2012),Erika Frantzve (Kirk); EHLY,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Local media item documenting orphanage donations/visits.
2012-05-01,Las Vegas NV / Phoenix AZ,Miss Arizona USA 2012; Miss USA participation,Erika Frantzve (Kirk); Miss USA Organization,https://en.wikipedia.org/wiki/Erika_Kirk,Title year anchor.
2012-06-03,Las Vegas NV,Miss USA 2012 telecast,Erika Frantzve (Kirk); Miss USA Organization,https://en.wikipedia.org/wiki/Miss_USA_2012,Broadcast date anchor.
2013-03-01,New York NY,Ongoing media profiles noting Epstein’s residences and travel,Jeffrey Epstein (subject),https://www.nytimes.com/2019/07/12/us/jeffrey-epstein-properties.html,Residence portfolio recap anchor.
2014-01-15,Constanța Romania,Local press item: continued Romanian Angels/EHLY donations,EHLY volunteers; Antonio Placement Center,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Use as documentation of activity window.
2014-06-01,Constanța Romania,Romanian media report donations to orphanage/hospital,Everyday Heroes Like You volunteers,https://www.livepr.ro/miss-arizona-adus-din-nou-zambete-copiilor-din-centrul-de-plasament-antonio/,Media-documented donations; presence window 2011–2015.
2014-12-30,New York NY,Court filings (Giuffre v. Maxwell) initial civil action timeframe,Virginia Giuffre; Ghislaine Maxwell,https://www.courtlistener.com/docket/4310254/giuffre-v-maxwell/,Docket index anchor for case existence (not content).
2015-01-03,London / New York,Renewed international media coverage of accusations (2015 wave),News organizations,https://www.bbc.com/news/uk-30664060,Media cycle anchor; no determinations implied.
2015-01-04,UK,BBC coverage: allegations resurface widely,BBC News,https://www.bbc.com/news/uk-30664060,Media cycle anchor.
2015-01-10,Email (UK/US legal PR),Maxwell email re legal/press risk ('press hell'),Ghislaine Maxwell (sender); advisers (recipients),(uploaded doc),Fear of defamation exposure; mentions TerraMar footer.
2015-01-10,UK/US (email),Maxwell internal email re 'press hell' (as unsealed later),Ghislaine Maxwell,(uploaded doc),From unsealed civil bundle; timing anchor for PR/legal posture.
2016-05-20,New York NY,Civil discovery scheduling discussions ahead of June depositions,Counsel of record,(uploaded doc),Pre-hearing procedural anchor from unsealed materials.
2016-06-07,New York NY (575 Lexington Ave),Scheduled civil deposition per subpoena (AO 88A),Sigrid S. McCawley (issuing counsel); deponents (various),(uploaded doc),Boies Schiller Flexner address and date are on the subpoena.
2016-06-17,Fort Lauderdale FL (counsel letter),Production of PBPD deposition + incident report,Boies Schiller Flexner; Haddon Morgan & Foreman,(uploaded doc),Confirms specific bates ranges and materials.
2016-06-17,New York NY,"Counsel letter listing produced materials incl. PBPD deposition, incident report",Boies Schiller Flexner; Haddon Morgan & Foreman,(uploaded doc),Discovery production specifics; date anchor.
2017-11-30,New York NY,Press pieces revisit case history and associates (pre-2019 arrest),Various media outlets,https://www.nytimes.com/2019/07/06/nyregion/jeffrey-epstein-arrested.html,Pre-arrest context piece.
2019-07-06,New York NY,Arrest; SDNY charges announced,U.S. Attorney SDNY; DOJ,https://www.reuters.com/world/us/jeffrey-epstein-arrest-2019-07-07/,Arrest anchor; presence of press/court officers.
2019-07-08,New York NY,Bail memo / detention reporting day-after-arrest,SDNY; press pool,https://www.reuters.com/world/us/,Coverage anchor adjacent to detention hearings.
2019-07-11,New York NY,Bail/detention filings and press reports continue,SDNY; press pool,https://www.reuters.com/world/us/,Ongoing hearing coverage.
2019-07-15,New York NY (Federal Court),Detention hearing coverage,SDNY; Judge; defense counsel; media,https://www.reuters.com/article/us-people-epstein/;https://www.reuters.com/world/us/,Hearing day photo/video anchors.
2019-07-18,New York NY,Judge orders detention pending trial (reported),U.S. District Court SDNY,https://www.reuters.com/world/us/,Detention decision coverage anchor.
2019-07-20–2019-08-20,Little St. James USVI,Reuters aerial/documentation packages,Reuters photojournalists,https://www.reuters.com/world/us/;https://www.reuters.com/world/americas/,High-res island scene geography.
2019-08-10,New York NY,BOP statement on in-custody death released to press,Bureau of Prisons,https://abcnews.go.com/US/rise-fall-jeffrey-epstein-timeline-financiers-legal-troubles/story?id=64507847,Custodial event anchor.
2019-08-10,New York NY (MCC),Death in custody reported by BOP,Bureau of Prisons,https://abcnews.go.com/US/rise-fall-jeffrey-epstein-timeline-financiers-legal-troubles/story?id=64507847,Custodial death anchor.
2019-11-16,London UK (BBC),BBC Newsnight interview airs,Prince Andrew; BBC Newsnight,https://www.bbc.com/news/uk-50449339,Broadcast date anchor.
2019-11-17,London UK,Post-interview coverage and public statements,Buckingham Palace (institutional),https://www.theguardian.com/uk-news/2019/nov/17/prince-andrew-epstein-bbc-interview-reaction,Immediate reaction coverage anchor.
2020-07-02,New Hampshire,Arrest of Ghislaine Maxwell (DOJ press release),Ghislaine Maxwell; DOJ,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-arrested-and-charged,Criminal case initiation against Maxwell.
2020-07-02,New Hampshire / SDNY,Arrest of Ghislaine Maxwell; initial SDNY proceedings,Ghislaine Maxwell; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-arrested-and-charged,DOJ press release; proceeding anchor.
2021-11-29,SDNY (NYC),Ghislaine Maxwell trial opens (media + docket),U.S. v. Ghislaine Maxwell; SDNY,https://www.nytimes.com/2021/11/29/nyregion/ghislaine-maxwell-trial.html,Trial start anchor.
2021-11-29,SDNY (NYC),Start of Ghislaine Maxwell criminal trial,U.S. v. Ghislaine Maxwell; SDNY,https://www.nytimes.com/2021/11/29/nyregion/ghislaine-maxwell-trial.html,Trial opening anchor.
2021-12-29,SDNY (NYC),Ghislaine Maxwell guilty verdict (DOJ),DOJ; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-convicted-manhattan-federal-court,Verdict anchor.
2021-12-29,SDNY (NYC),Jury verdict finding Maxwell guilty on multiple counts,U.S. v. Ghislaine Maxwell; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-convicted-manhattan-federal-court,Verdict anchor (DOJ press release).
2022-06-28,SDNY (NYC),Ghislaine Maxwell sentencing,SDNY; Ghislaine Maxwell,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-sentenced-20-years-prison-conspiring-entice-minors-travel-engage,Sentencing anchor (DOJ press release).
2022-06-28,SDNY (NYC),Ghislaine Maxwell sentencing (DOJ),DOJ; SDNY,https://www.justice.gov/usao-sdny/pr/ghislaine-maxwell-sentenced-20-years-prison-conspiring-entice-minors-travel-engage,Sentencing anchor.
2024-01-03,SDNY (NYC),Unsealing order takes effect; rolling releases begin,Judge Loretta Preska,https://storage.courtlistener.com/recap/gov.uscourts.nysd.447706/,Primary docket mirror.
2024-01-03,SDNY (NYC),Unsealing order; rolling public release of civil filings,Judge Loretta Preska; parties,https://storage.courtlistener.com/recap/gov.uscourts.nysd.447706/;https://www.theguardian.com/us-news/2024/jan/03/epstein-documents-unsealed,Start of 2024 public document waves.
2024-01-04,Online archives,Additional unsealed document compilations mirrored by archives,PublicIntelligence; third-party mirrors,https://publicintelligence.net/ghislaine-maxwell-epstein-files-batch-8-2024/,Mirror access; complements SDNY unsealing order.
2024-01-05,Online archives,Compiled unsealed batches published for access,News organizations; public archives,https://publicintelligence.net/ghislaine-maxwell-epstein-files-batch-8-2024/,Public mirrors for research access.
2025-09-02,Washington DC,"House Oversight: DOJ production release (33,295 pages)",House Oversight; DOJ,https://oversight.house.gov/release/oversight-committee-releases-33295-pages-of-doj-epstein-production/,Official committee release.
2025-09-02,Washington DC (House Oversight),"Committee release of DOJ production (33,295 pages)",U.S. House Committee on Oversight and Accountability; DOJ,https://oversight.house.gov/release/oversight-committee-releases-33295-pages-of-doj-epstein-production/,Official committee press release anchor.
2025-09-03,Washington DC (U.S. Capitol),Survivor press event and member presser (C-SPAN),"Members of Congress (e.g., Ro Khanna, Thomas Massie); survivors (various)",https://www.c-span.org/video/;https://abcnews.go.com/Politics/jeffrey-epstein-survivors-set-speak-capitol-hill/story?id=125211468,Presence on public video; no ethnicity breakdown published.
2025-09-08,Washington DC,Committee release of Estate production,U.S. House Oversight; Epstein Estate,https://oversight.house.gov/release/epstein-estate-produces-documents-oversight-committee/,Records handling anchor.
2025-09-08,Washington DC,House Oversight: Estate production release,House Oversight; Epstein Estate,https://oversight.house.gov/release/epstein-estate-produces-documents-oversight-committee/,Official committee release.
2025-09-18,Washington DC,Congressional Record entry of survivors’ letter,U.S. House of Representatives,https://www.congress.gov/congressional-record/2025/9/18/house-section/article/h4420-3,GPO link to Record pages.
2025-09-18,Washington DC (House Floor/Record),Congressional Record entry: “A LETTER FROM SURVIVORS…”,U.S. House of Representatives; survivors (letter),https://www.congress.gov/congressional-record/2025/9/18/house-section/article/h4420-3,Text placed into official record.
2025-09-26,Washington DC,Oversight minority memo referencing continuing releases (status update),House Oversight (Democratic members),https://democrats-oversight.house.gov/,Status update anchor on committee releases timeline.
2025-10-03,Washington DC,Press coverage of committee obtaining additional calendars/call logs,U.S. House Oversight; press,https://www.washingtonpost.com/politics/,Batch coverage anchor; use with committee primary links.
2025-10-17,Washington DC,Additional batch incl. Acosta interview transcript; new calendars/logs,House Oversight; Alex Acosta,https://www.washingtonpost.com/politics/2025/10/17/house-epstein-files/,Coverage with links to primary committee pages.
2025-10-17,Washington DC,Additional committee release (transcripts/calendars/call logs incl. Acosta interview),U.S. House Oversight; Alex Acosta (interview),https://www.washingtonpost.com/politics/2025/10/17/house-epstein-files/,Batch coverage anchor (with primary links from committee site).
